timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
362772990,1574736284600090,372468178,1266671154,14280,32266,0.134,0.039915156,0.9620001,1.281,0.69,1.27,74,11,4.018,-0.563,-3.9780002,-0.35900003,4.5746536,0,3,1,15
362972657,1574736284800090,372468168,1266671064,14345,32331,0.132,0.037399612,0.95400006,1.273,0.69,1.27,74,11,4.078,-0.48600003,-4.0490003,-0.18800001,4.584955,0,3,1,15
363164951,1574736285000090,372468160,1266670972,14378,32364,0.12900001,0.037688985,0.947,1.266,0.69,1.27,79,6,4.083,-0.42600003,-4.0610003,0.019000001,4.5971684,0,3,1,15
363364731,1574736285200090,372468150,1266670878,14414,32400,0.116000004,0.0348434,0.93900007,1.258,0.69,1.27,79,6,4.157,-0.40600002,-4.137,0.037,4.6072326,0,3,1,15
363575973,1574736285400090,372468144,1266670782,14331,32317,0.123,0.03623338,0.93200004,1.2520001,0.69,1.27,79,6,4.3510003,-0.344,-4.3370004,0.432,4.620865,0,3,1,15
363773479,1574736285600090,372468137,1266670685,14280,32266,0.15200001,0.041372504,0.92600006,1.248,0.69,1.27,79,6,4.2180004,-0.33600003,-4.204,0.28800002,4.626462,0,3,1,15
363976730,1574736285800090,372468131,1266670589,14213,32199,0.12100001,0.038755033,0.92,1.2420001,0.69,1.27,79,6,4.224,-0.157,-4.221,0.28300002,4.653902,0,3,1,15
364165615,1574736286000090,372468128,1266670489,14112,32098,0.134,0.039645325,0.91400003,1.2370001,0.7,1.29,80,7,4.533,-0.185,-4.5290003,0.69900006,4.6632032,0,3,1,14
364373601,1574736286200090,372468123,1266670387,14004,31990,0.13700001,0.040674545,0.91,1.233,0.69,1.27,80,7,4.4570003,-0.34600002,-4.4440002,0.61,4.6482296,0,3,1,15
364576749,1574736286400090,372468118,1266670289,13896,31882,0.134,0.046633273,0.90500003,1.228,0.69,1.27,80,7,4.2770004,-0.10300001,-4.276,0.62100005,4.666835,0,3,1,15
364773288,1574736286600090,372468115,1266670187,13734,31720,0.12900001,0.035318132,0.89900005,1.223,0.69,1.27,80,7,4.6190004,-0.157,-4.616,0.71800005,4.674428,0,3,1,15
364976819,1574736286800090,372468112,1266670084,13702,31688,0.127,0.034203738,0.89300007,1.217,0.69,1.27,80,7,4.3910003,-0.053000003,-4.3900003,0.23400001,4.6889315,0,3,1,15
365164679,1574736287000090,372468111,1266669986,13655,31641,0.149,0.052358128,0.88900006,1.2140001,0.69,1.27,85,7,4.303,-0.004,-4.303,0.23200001,4.696545,0,3,1,15
365376657,1574736287200090,372468112,1266669887,13593,31579,0.15,0.04823479,0.88600004,1.21,0.69,1.27,85,7,4.386,0.11400001,-4.3840003,0.22900002,4.720042,0,3,1,15
