timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
407831218,20.450003,20.36674,37.99014,38.698456,0.0,620.41705,0.4911059,1.1825154,0.0,6,0,0,0,0,0,1,1,0,0,0
408334915,20.517847,20.403633,35.87092,37.65006,0.0,625.585,0.48800614,1.1806195,0.0,6,0,0,0,0,0,1,1,0,0,0
408838937,20.818296,20.473385,33.221893,36.016285,0.0,630.4857,0.48509422,1.1773947,0.0,6,0,0,0,0,0,1,1,0,0,0
409343359,21.613035,20.6832,25.04108,31.805294,0.0,634.5468,0.48261738,1.1683456,0.0,6,0,0,0,0,0,1,1,0,0,0
409846877,20.566305,20.833185,33.221893,29.507711,0.0,638.3874,0.4805149,1.1626711,0.0,6,0,0,0,0,0,1,1,0,0,0
410351241,19.936329,20.65971,41.60528,34.675014,0.0,643.6964,0.47811013,1.1703823,0.0,6,0,0,0,0,0,1,1,0,0,0
410854936,20.052633,20.461897,43.05445,38.854427,0.0,649.5496,0.47527748,1.1790837,0.0,6,0,0,0,0,0,1,1,0,0,0
411358901,20.23678,20.363348,37.584995,39.5704,0.0,655.213,0.47221506,1.1833868,0.0,6,0,0,0,0,0,1,1,0,0,0
411863798,20.605074,20.423763,35.29437,37.23404,0.0,660.20807,0.4693134,1.1803203,0.0,6,0,0,0,0,0,1,1,0,0,0
412355773,20.58569,20.434462,37.008442,36.85488,0.0,665.1894,0.46657324,1.17966,0.0,6,0,0,0,0,0,1,1,0,0,0
412859788,20.63415,20.463463,35.091793,36.11749,0.0,670.1997,0.46382603,1.1781352,0.0,6,0,0,0,0,0,1,1,0,0,0
413375986,20.372467,20.491695,35.37228,35.482903,0.0,675.2063,0.46114224,1.1768485,0.0,6,0,0,0,0,0,1,1,0,0,0
413867749,20.566305,20.47773,36.307228,35.959618,0.0,680.17395,0.4585708,1.1774865,0.0,6,0,0,0,0,0,1,1,0,0,0
414371879,20.672916,20.52879,34.25034,35.00584,0.0,684.9937,0.45604816,1.175048,0.0,6,0,0,0,0,0,1,1,0,0,0
414875811,20.605074,20.57162,33.76728,34.119717,0.0,689.6725,0.45367083,1.1731082,0.0,6,0,0,0,0,0,1,1,0,0,0
415379733,20.857063,20.578466,34.468494,34.29546,0.0,694.4929,0.45132247,1.1727753,0.0,6,0,0,0,0,0,1,1,0,0,0
415883721,20.798912,20.619614,32.473934,33.47473,0.0,699.1053,0.44907266,1.1709303,0.0,6,0,0,0,0,0,1,1,0,0,0
416388794,20.469387,20.620821,34.094513,33.718555,0.0,703.84796,0.44687173,1.1709036,0.0,6,0,0,0,0,0,1,1,0,0,0
416892602,20.653534,20.610943,35.029465,34.20771,0.0,708.6909,0.4446473,1.171244,0.0,6,0,0,0,0,0,1,1,0,0,0
417396935,20.353083,20.557446,36.75912,35.32174,0.0,713.73474,0.44235796,1.1737235,0.0,6,0,0,0,0,0,1,1,0,0,0
417900524,20.353083,20.497974,36.68121,36.280087,0.0,718.9105,0.43996415,1.1764207,0.0,6,0,0,0,0,0,1,1,0,0,0
418392800,20.566305,20.50213,35.855335,35.80869,0.0,723.7675,0.43763506,1.176181,0.0,6,0,0,0,0,0,1,1,0,0,0
418896514,20.324007,20.468185,36.88378,36.28633,0.0,728.87787,0.43523398,1.1777974,0.0,6,0,0,0,0,0,1,1,0,0,0
419400540,20.672916,20.474386,35.356697,35.897476,0.0,733.88336,0.43283316,1.1774035,0.0,6,0,0,0,0,0,1,1,0,0,0
419904544,20.469387,20.4606,36.400723,36.117405,0.0,738.95013,0.43045494,1.1780837,0.0,6,0,0,0,0,0,1,1,0,0,0
420409593,20.508154,20.448236,36.338394,36.379044,0.0,744.074,0.42805895,1.1786078,0.0,6,0,0,0,0,0,1,1,0,0,0
420913359,20.575998,20.457775,34.967133,35.86977,0.0,749.04553,0.42570448,1.1781619,0.0,6,0,0,0,0,0,1,1,0,0,0
421417375,20.566305,20.49932,33.627037,34.90638,0.0,753.8465,0.42345545,1.1762624,0.0,6,0,0,0,0,0,1,1,0,0,0
421921396,20.721376,20.503075,32.286945,34.960094,0.0,758.7617,0.42122933,1.1762311,0.0,6,0,0,0,0,0,1,1,0,0,0
422425359,20.857063,20.609352,31.32083,32.541874,0.0,763.06805,0.41924107,1.1716635,0.0,6,0,0,0,0,0,1,1,0,0,0
422929609,20.73107,20.645267,33.1284,32.4143,0.0,767.5739,0.41734144,1.1703074,0.0,6,0,0,0,0,0,1,1,0,0,0
423433581,20.701994,20.637829,33.50238,33.02567,0.0,772.2523,0.41542876,1.1708779,0.0,6,0,0,0,0,0,1,1,0,0,0
423937360,20.498463,20.60062,35.76184,33.846035,0.0,777.04095,0.41347566,1.172851,0.0,6,0,0,0,0,0,1,1,0,0,0
424441328,20.382158,20.523497,37.475918,35.445534,0.0,782.1437,0.41137952,1.1763546,0.0,6,0,0,0,0,0,1,1,0,0,0
424945384,20.469387,20.512802,34.87364,35.223083,0.0,787.07715,0.40925163,1.176666,0.0,6,0,0,0,0,0,1,1,0,0,0
425449595,20.556614,20.515207,34.748978,34.79778,0.0,791.9071,0.40716586,1.1764563,0.0,6,0,0,0,0,0,1,1,0,0,0
425942133,20.343391,20.477427,35.045044,35.220963,0.0,796.7652,0.40510252,1.1781794,0.0,6,0,0,0,0,0,1,1,0,0,0
426446121,20.6923,20.519266,33.533546,34.276882,0.0,801.4827,0.4030596,1.1760736,0.0,6,0,0,0,0,0,1,1,0,0,0
426950132,20.760145,20.531675,31.64806,34.19928,0.0,806.2881,0.40104887,1.1755081,0.0,6,0,0,0,0,0,1,1,0,0,0
427454142,20.915216,20.645866,29.108112,31.450468,0.0,810.4355,0.3992927,1.1706214,0.0,6,0,0,0,0,0,1,1,0,0,1
427958155,20.73107,20.735401,30.074228,30.196373,0.0,814.51794,0.39772803,1.1669172,0.0,6,0,0,0,0,0,1,1,0,0,1
428462097,20.827988,20.75077,30.479372,30.546825,0.0,818.8326,0.39619517,1.1663413,0.0,6,0,0,0,0,0,1,1,0,0,1
428966110,20.517847,20.704475,35.27878,32.073166,0.0,823.4384,0.39460576,1.1684155,0.0,6,0,0,0,0,0,1,1,0,0,1
429470346,20.362776,20.584047,36.089073,34.485874,0.0,828.505,0.39279523,1.1737359,0.0,6,0,0,0,0,0,1,1,0,0,1
429974233,20.48877,20.51496,36.61888,35.308865,0.0,833.537,0.39085743,1.1767375,0.0,6,0,0,0,0,0,1,1,0,0,1
430479117,20.750452,20.512857,32.302525,35.018215,0.0,838.4582,0.38889462,1.1766882,0.0,6,0,0,0,0,0,1,1,0,0,1
430982912,20.701994,20.57981,32.364857,33.08613,0.0,842.87775,0.3871238,1.1737758,0.0,6,0,0,0,0,0,1,1,0,0,1
431486957,20.58569,20.574825,35.154125,33.709534,0.0,847.64374,0.38535812,1.1738192,0.0,6,0,0,0,0,0,1,1,0,0,1
431991138,20.314316,20.514181,37.662907,35.09289,0.0,852.6795,0.3835079,1.1764902,0.0,6,0,0,0,0,0,1,1,0,0,1
432494906,20.53723,20.492079,34.0166,35.098293,0.0,857.6391,0.38159937,1.1774416,0.0,6,0,0,0,0,0,1,1,0,0,1
432998977,20.324007,20.503462,35.93325,34.87542,0.0,862.48816,0.37975007,1.1768955,0.0,6,0,0,0,0,0,1,1,0,0,1
433502925,20.362776,20.459091,35.902084,35.73072,0.0,867.574,0.37783387,1.178918,0.0,6,0,0,0,0,0,1,1,0,0,1
434006935,20.798912,20.488241,33.72053,34.82974,0.0,872.3811,0.37596902,1.1775744,0.0,6,0,0,0,0,0,1,1,0,0,1
434511208,20.924908,20.576159,30.370295,33.001694,0.0,876.82623,0.37428758,1.1738069,0.0,6,0,0,0,0,0,1,1,0,0,1
435003716,21.167206,20.739246,24.152878,29.530582,0.0,880.5538,0.37294737,1.166717,0.0,6,0,0,0,0,0,1,1,0,0,1
435507736,20.895832,20.86732,29.560007,27.594622,0.0,884.1581,0.37187666,1.1613497,0.0,6,0,0,0,0,0,1,1,0,0,1
436011891,20.83768,20.836416,31.14942,29.642342,0.0,888.5205,0.37070042,1.1625383,0.0,6,0,0,0,0,0,1,1,0,0,1
