timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
443716446,0.16054633,0.29011428,0.4845245
443743408,0.16186999,0.2889689,0.49175888
443767408,0.16584094,0.2878235,0.4784958
443791834,0.1698119,0.28553268,0.4845245
443814962,0.16319364,0.28553268,0.4881417
443836436,0.16186999,0.2820965,0.4784958
443863292,0.15525171,0.29011428,0.482113
443887134,0.16319364,0.29698664,0.47608435
443908492,0.1698119,0.29355046,0.47608435
443932436,0.15789902,0.29011428,0.48090726
443956447,0.15525171,0.29125968,0.49175888
443980458,0.17113556,0.29698664,0.46884996
444004476,0.16848825,0.29469585,0.46764424
444032704,0.17378286,0.29355046,0.47126144
444056476,0.1724592,0.29240507,0.46402705
444079034,0.16848825,0.30156824,0.47608435
444103010,0.16186999,0.30385903,0.4736729
444127158,0.16848825,0.30271363,0.482113
444151811,0.16186999,0.30271363,0.4748786
444175645,0.16848825,0.30042285,0.4748786
444199961,0.17510653,0.30271363,0.4664385
444224445,0.16848825,0.29698664,0.4700557
444248118,0.1724592,0.30271363,0.4700557
444271663,0.16186999,0.30271363,0.46764424
444295804,0.16319364,0.3061498,0.47970155
444319416,0.15922268,0.3061498,0.47608435
444343107,0.15922268,0.30958605,0.4700557
444364477,0.16584094,0.30500442,0.48090726
444391823,0.17113556,0.3061498,0.4664385
444414935,0.16054633,0.29698664,0.46402705
444440442,0.17643018,0.30500442,0.47246715
444464568,0.17113556,0.30042285,0.46764424
444491605,0.16584094,0.30385903,0.47970155
444514540,0.1671646,0.30156824,0.4748786
444538523,0.16186999,0.30844063,0.47970155
444562448,0.1724592,0.3061498,0.47246715
444583260,0.15789902,0.30042285,0.47246715
444607026,0.17643018,0.30500442,0.4700557
444628453,0.17510653,0.3072952,0.45558694
444654967,0.16848825,0.3072952,0.4700557
444676435,0.18040113,0.30271363,0.45920414
444703017,0.17643018,0.31073144,0.4579984
444726903,0.16848825,0.30500442,0.4700557
444751664,0.18040113,0.3187492,0.47246715
444776143,0.16451728,0.30500442,0.4748786
444799681,0.1671646,0.30958605,0.47246715
444823550,0.17775384,0.31073144,0.46040985
444846943,0.18569575,0.30500442,0.47126144
444871515,0.18304844,0.31187683,0.46040985
444892439,0.18569575,0.30042285,0.46402705
444919045,0.18040113,0.30042285,0.47126144
444940436,0.17510653,0.30156824,0.46764424
444964482,0.18040113,0.315313,0.4664385
444991971,0.1671646,0.31302223,0.47246715
445015198,0.16584094,0.3072952,0.4700557
445036477,0.17907749,0.31073144,0.4616156
445060465,0.18304844,0.31302223,0.45679265
445083504,0.17643018,0.30385903,0.4579984
445106334,0.18172479,0.31073144,0.4519697
445131066,0.17643018,0.3072952,0.46402705
445154539,0.15657535,0.30500442,0.47608435
445179655,0.1526044,0.30271363,0.46884996
445202511,0.15657535,0.30958605,0.4772901
445226516,0.16186999,0.3176038,0.47608435
445251143,0.16848825,0.30271363,0.4736729
445275739,0.16848825,0.30385903,0.4579984
445298583,0.1671646,0.3061498,0.4700557
445322746,0.16451728,0.30385903,0.47126144
445346683,0.16848825,0.31073144,0.4616156
445371144,0.15525171,0.30042285,0.4748786
445394824,0.15922268,0.31073144,0.4652328
445418392,0.16451728,0.31187683,0.47246715
445442514,0.15525171,0.30958605,0.4736729
445466324,0.16054633,0.30500442,0.46402705
445488450,0.16054633,0.29469585,0.4664385
445511166,0.1698119,0.30385903,0.46040985
445532470,0.16584094,0.29698664,0.46402705
445556442,0.1671646,0.3072952,0.46884996
445580436,0.15922268,0.31416762,0.47608435
445604436,0.15657535,0.31073144,0.47246715
445628459,0.14598614,0.30500442,0.47970155
445655232,0.14995709,0.3072952,0.4748786
445679131,0.15922268,0.30042285,0.46040985
445703156,0.16584094,0.30156824,0.46402705
445724489,0.15789902,0.29813206,0.47246715
445748453,0.1671646,0.30042285,0.45920414
445775829,0.16054633,0.30042285,0.48090726
445799611,0.15128075,0.30844063,0.47246715
445823051,0.14995709,0.29698664,0.482113
445847727,0.14995709,0.30385903,0.48090726
445871868,0.14863344,0.30271363,0.48090726
445895695,0.15392806,0.29240507,0.47608435
445919393,0.1526044,0.29469585,0.482113
445943028,0.15657535,0.29813206,0.47608435
445967093,0.15789902,0.29698664,0.47608435
445991602,0.14995709,0.30156824,0.4784958
446015039,0.14863344,0.30385903,0.48573023
446039188,0.14069153,0.30500442,0.49175888
446063114,0.14466248,0.30156824,0.4845245
446084442,0.14333883,0.30156824,0.48090726
446108493,0.15128075,0.29584125,0.46884996
446135157,0.1473098,0.29240507,0.48693594
446159510,0.1526044,0.30042285,0.47608435
446182970,0.1473098,0.30156824,0.48693594
