timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
646941891,646941681,0.014449019,0.060753595,0.094532914,0.4258924,0.0,0.0,0.0,1.0
647045898,647045682,0.020650415,0.06316739,0.093880616,0.41302195,0.0,0.0,0.0,1.0
647149973,647149682,-0.006174603,0.058518566,0.09736452,0.40773413,0.0,0.0,0.0,1.0
647253811,647253682,0.032339465,0.06107346,0.09741762,0.40430388,0.0,0.0,0.0,1.0
647353937,647353682,0.0043754596,0.06079552,0.09638335,0.39968863,0.0,0.0,0.0,1.0
647457969,647457682,0.03296834,0.067566924,0.093761586,0.39767113,0.0,0.0,0.0,1.0
647557921,647557682,-0.0014392999,0.06492141,0.093968816,0.39127743,0.0,0.0,0.0,1.0
647661939,647661682,0.02995218,0.04039127,0.09242948,0.39714527,0.0,0.0,0.0,1.0
647765907,647765681,0.004303675,0.058910556,0.0907135,0.3937224,0.0,0.0,0.0,1.0
647865810,647865682,0.038688198,0.058622025,0.09412736,0.40070197,0.0,0.0,0.0,1.0
647969819,647969682,0.03223909,0.0560138,0.08459293,0.40472987,0.0,0.0,0.0,1.0
648069940,648069682,0.0012110788,0.055025205,0.084866785,0.40621912,0.0,0.0,0.0,1.0
648169978,648169682,0.028041976,0.049844757,0.08968198,0.41509622,0.0,0.0,0.0,1.0
648274034,648273727,0.019881478,0.0665119,0.09303513,0.41798475,0.0,0.0,0.0,1.0
648373981,648373691,0.033301976,0.051097278,0.092903495,0.41049215,0.0,0.0,0.0,1.0
648474072,648473686,0.023970127,0.049714427,0.09278884,0.4027055,0.0,0.0,0.0,1.0
648578786,648578488,0.026230063,0.05984464,0.09206987,0.400531,0.0,0.0,0.0,1.0
648678737,648678494,0.018413343,0.051653113,0.08947128,0.39234886,0.0,0.0,0.0,1.0
648778801,648778486,0.028041698,0.06096538,0.0933969,0.39116615,0.0,0.0,0.0,1.0
648882718,648882482,0.028398274,0.057118785,0.089943625,0.39129886,0.0,0.0,0.0,1.0
648982619,648982487,0.021854937,0.05187428,0.08733581,0.39624888,0.0,0.0,0.0,1.0
649082732,649082503,0.025306584,0.056514785,0.089671604,0.394367,0.0,0.0,0.0,1.0
649186749,649186482,0.029168973,0.061888967,0.09546654,0.39345938,0.0,0.0,0.0,1.0
649286620,649286489,0.02970757,0.057868645,0.09217472,0.3951525,0.0,0.0,0.0,1.0
649390734,649390497,0.008453351,0.060298007,0.09900663,0.3918692,0.0,0.0,0.0,1.0
649494733,649494482,0.005965103,0.07025825,0.08822549,0.38035876,0.0,0.0,0.0,1.0
649594781,649594489,-0.0015239082,0.06333027,0.09028299,0.38352728,0.0,0.0,0.0,1.0
649698817,649698482,0.030159641,0.05496828,0.09266436,0.3891685,0.0,0.0,0.0,1.0
649798705,649798482,0.039974302,0.058851995,0.090481274,0.38775,0.0,0.0,0.0,1.0
649898690,649898505,0.005104369,0.054769065,0.087129414,0.38131076,0.0,0.0,0.0,1.0
650002733,650002482,0.014820145,0.04487911,0.09328645,0.38920742,0.0,0.0,0.0,1.0
650102720,650102489,0.021189371,0.06802896,0.09223394,0.3922338,0.0,0.0,0.0,1.0
650202806,650202487,0.016054422,0.061974056,0.08774906,0.38638186,0.0,0.0,0.0,1.0
650306745,650306494,0.023683878,0.04856844,0.09666953,0.3924232,0.0,0.0,0.0,1.0
650406726,650406482,0.036264088,0.046911247,0.09287704,0.40202725,0.0,0.0,0.0,1.0
650510835,650510506,0.01768677,0.057385113,0.089965574,0.40707523,0.0,0.0,0.0,1.0
650614619,650614482,0.01102712,0.057223152,0.092291676,0.40671828,0.0,0.0,0.0,1.0
650715413,650715282,0.009539298,0.060378496,0.09409747,0.41069096,0.0,0.0,0.0,1.0
650815547,650815329,0.04445906,0.060016744,0.0881343,0.41769168,0.0,0.0,0.0,1.0
650919543,650919282,0.027278177,0.067561716,0.0882455,0.41911283,0.0,0.0,0.0,1.0
651019580,651019289,0.011598937,0.06922493,0.08090484,0.40720746,0.0,0.0,0.0,1.0
651119414,651119283,0.015125927,0.04882106,0.08357405,0.39643764,0.0,0.0,0.0,1.0
651223480,651223295,0.0016896296,0.05553073,0.08128058,0.39099413,0.0,0.0,0.0,1.0
651323503,651323307,0.029851902,0.04357465,0.080360815,0.3950598,0.0,0.0,0.0,1.0
651427518,651427289,0.01588139,0.05014655,0.08307032,0.39588478,0.0,0.0,0.0,1.0
651527410,651527282,0.027608898,0.046200253,0.08431598,0.41113356,0.0,0.0,0.0,1.0
651627585,651627281,0.02770225,0.051775012,0.08557304,0.41145858,0.0,0.0,0.0,1.0
651731608,651731282,0.027762134,0.042535275,0.08714038,0.4213745,0.0,0.0,0.0,1.0
651831413,651831282,0.01759924,0.055918276,0.08454998,0.42102578,0.0,0.0,0.0,1.0
651931543,651931282,0.022706902,0.059146028,0.083422415,0.42038026,0.0,0.0,0.0,1.0
652035594,652035301,-0.1520443,-0.22063549,0.050840784,0.4018158,0.0,0.0,0.0,1.0
652135417,652135282,-0.0021518283,0.017706152,0.08070543,0.38302395,0.0,0.0,0.0,1.0
652239417,652239286,0.07814614,0.1939765,0.104698375,0.37021208,0.0,0.0,0.0,1.0
652343532,652343282,0.045226157,0.21239197,0.117697455,0.34795514,0.0,0.0,0.0,1.0
652443505,652443289,-0.021807896,0.14437166,0.11934912,0.31631476,0.0,0.0,0.0,1.0
652547586,652547282,-0.056070343,0.10702943,0.12585577,0.3104529,0.0,0.0,0.0,1.0
652647533,652647282,-0.050266914,0.1141503,0.130013,0.31586108,0.0,0.0,0.0,1.0
652747702,652747329,-0.04985483,0.11666891,0.1369942,0.33610404,0.0,0.0,0.0,1.0
652851561,652851319,-0.05101837,0.0912073,0.13192068,0.36067098,0.0,0.0,0.0,1.0
